,logFC,logCPM,PValue,QValue
ENSCPBG00000004419,2.72277378975175,6.82001787616581,0.028777901226534,1
ENSCPBG00000003056,2.46704036264264,5.09454880649629,0.0415908565623704,1
ENSCPBG00000028192,1.87261055288493,3.37786978337395,0.0496293480998686,1
ENSCPBG00000027949,4.07421384376281,5.30057930673411,0.0074154165536714,1
ENSCPBG00000007652,1.18350401600206,3.45108333242466,0.0290955753788791,1
ENSCPBG00000012946,1.47208080512472,4.22958518245095,0.028569899554986,1
ENSCPBG00000013705,2.81693884894354,-1.16198022579919,0.0206321040832028,1
ENSCPBG00000019696,1.5002695515205,2.61652418133268,0.0387335403390656,1
ENSCPBG00000018089,1.54659982407503,4.43981697837305,0.0071653843483454,1
ENSCPBG00000001411,4.37294732252998,3.31162713575345,0.020606040980796,1
ENSCPBG00000012923,0.941230697400292,5.02736368079246,0.0247278282099495,1
ENSCPBG00000019065,4.32111512633162,2.15025009720903,0.0234806455234982,1
ENSCPBG00000016483,2.05261167674183,-0.274017479060527,0.010668078550076,1
ENSCPBG00000009893,1.92178844417534,4.41568521419351,0.0222050838796723,1
ENSCPBG00000012668,2.24597173349744,4.02835696837164,0.0253086334654568,1
ENSCPBG00000017905,1.85345986321183,5.04793240853186,0.0314877976042003,1
ENSCPBG00000012510,1.83547731597524,-0.59114594328784,0.0411340830350187,1
ENSCPBG00000012433,2.32921923726001,4.30174414716572,0.0202102138630174,1
ENSCPBG00000012093,1.04304245827323,3.694188393481,0.0310651282473723,1
ENSCPBG00000019166,1.85524247045343,4.62990963502127,0.0028191126856169,1
ENSCPBG00000015410,3.10220685593379,3.09365159567027,0.0236475378801793,1
ENSCPBG00000014473,1.25999951998953,4.74245095743799,0.0397071277322048,1
ENSCPBG00000015784,6.42224402814701,2.61754701691426,0.002656360030785,1
ENSCPBG00000011711,4.9654513331899,-2.12001023243479,0.0426664744418973,1
ENSCPBG00000011397,1.46724431277028,3.48475161751149,0.0298469003762734,1
ENSCPBG00000023177,6.2822617546701,-1.35431192121529,0.0220313739005775,1
ENSCPBG00000017838,2.40791293587385,-1.73069050561724,0.0451558719276777,1
ENSCPBG00000009895,2.45644840862212,3.65952114659799,0.0227642603063618,1
ENSCPBG00000010975,2.31236834024521,-0.290295176765789,0.0176190444350415,1
ENSCPBG00000004629,5.35612990000888,0.740585316243274,0.0455783238608687,1
ENSCPBG00000015692,1.60351940654263,4.11823986688235,0.0302403187079602,1
ENSCPBG00000023910,7.39731986622792,1.48903113474413,0.0105019983705588,1
ENSCPBG00000012536,2.90503559269403,1.28216865893212,0.0419274969455926,1
ENSCPBG00000023885,1.80784209822203,5.89117130497652,0.0204169145196112,1
ENSCPBG00000010361,2.74759723640655,-0.496838190576423,0.0090468598397222,1
ENSCPBG00000024752,1.56605289323514,4.24494996821643,0.0480131809640179,1
ENSCPBG00000027534,1.41951783366057,6.04060577184786,0.0400612858820627,1
ENSCPBG00000010150,5.22056435506785,-2.00181209629892,0.0365178596190033,1
ENSCPBG00000025385,1.07372448029168,3.91456477821423,0.0477836428348563,1
ENSCPBG00000018994,2.83663394324225,0.169260328764404,0.0126839145906566,1
ENSCPBG00000009996,1.00392560894495,5.01353930981436,0.041415094214849,1
ENSCPBG00000009822,2.41411197229653,3.65550469324371,0.0385231904448793,1
ENSCPBG00000013841,1.43672357581504,3.69894097165948,0.0327120408128899,1
ENSCPBG00000017036,3.37890294174426,1.8874545459685,0.0171085938046806,1
ENSCPBG00000023870,1.73155598837846,1.78306650222068,0.048064482663736,1
ENSCPBG00000004756,1.12610811534771,2.30766650524878,0.0490020515265744,1
ENSCPBG00000005598,6.51496679727232,-1.17826871905242,0.0114093844667348,1
ENSCPBG00000009363,4.93152713642212,-2.1348123540368,0.0378965415560083,1
ENSCPBG00000009163,3.07167227685183,-0.61145613465463,0.0448716315389393,1
ENSCPBG00000009104,1.05448719560506,6.01340423215851,0.0415772017476907,1
ENSCPBG00000009002,2.50616121221549,-0.405028150811205,0.0080119966018491,1
ENSCPBG00000010800,2.53609156457927,0.473670922065704,0.0426522141754355,1
ENSCPBG00000008889,3.50615327820764,1.01686041242978,0.021959513349197,1
ENSCPBG00000008783,2.56908070703833,2.90915666365496,0.047185644027661,1
ENSCPBG00000008708,1.78953285098414,0.007599328327105,0.0424347851337298,1
ENSCPBG00000027577,2.37766726833382,0.564652270254654,0.0108414228712826,1
ENSCPBG00000011596,1.28778713804473,6.23113711967839,0.0418815032326514,1
ENSCPBG00000008224,2.20360214385626,1.5848219419938,0.0479708069993093,1
ENSCPBG00000011825,2.15267737791038,1.76885078850368,0.0251678163940259,1
ENSCPBG00000009671,1.08562181128286,5.70411341703846,0.0158914007065209,1
ENSCPBG00000009615,2.7510405738886,3.92575541860008,0.0222094687883205,1
ENSCPBG00000007842,4.35831568228196,2.64975877867415,0.0114455389180357,1
ENSCPBG00000007738,2.80612975959049,3.12130260540623,0.0416229590074276,1
